date,day_week,rain_10,rain_total,arg_temperature,max_temperature,min_temperature,avg_wind,corona_all,corona_chiba,corona_tokyo,customers,sale
2021/1/6,Wednesday,0,0,4.7,6.5,3.4,2.1,6066,343,1640,120,96900
2021/1/7,Thursday,0.5,3,6.2,11.6,2.2,3.2,7793,618,2520,113,93600
2021/1/8,Friday,2.5,11,2,6.1,-2.2,1.4,8045,561,2459,101,80100
2021/1/9,Saturday,0,0,1.2,7.6,-4.6,1,7528,188,2332,134,116900
2021/1/10,Sunday,0,0,1.3,7.3,-4.1,1.1,6130,405,1510,121,103050
2021/1/11,Monday,0,0,1.1,5.6,-2.7,1.2,4901,347,1252,110,89550
2021/1/12,Tuesday,0,0,2.7,4.7,0.7,1.6,4630,458,1025,94,78450
2021/1/13,Wednesday,0,0,4.8,11.7,-1.8,0.9,6086,610,1480,105,81700
2021/1/14,Thursday,0,0,6.5,13.3,0.5,1.2,6749,576,1552,84,65600
2021/1/15,Friday,1,14,5.4,6.7,3.1,1.5,6795,139,2044,101,83200
2021/1/16,Saturday,0,0,9.4,16.7,3.8,1.8,7028,506,1839,118,95450
2021/1/17,Sunday,0,0,5,7,2.6,1.7,5758,435,1595,119,104750
2021/1/18,Monday,0.5,7.5,4.2,9,0,1.6,4947,381,1217,76,64050
2021/1/19,Tuesday,0,0,4.2,8,0.3,3.2,5355,529,1253,93,75150
2021/1/20,Wednesday,0,0,2.8,7.7,-1.5,1.6,5643,497,1286,103,82700
2021/1/21,Thursday,0,0,4.2,11.9,-1.6,1,5743,550,1485,102,86850
2021/1/22,Friday,0,0,7.8,16.1,0.5,0.9,4821,224,1184,91,76450
2021/1/23,Saturday,0.5,5.5,6.1,9.5,2.8,2.8,4711,411,1079,86,83200
2021/1/24,Sunday,0,0,4,6.6,2.1,2.6,3988,329,986,102,84450
2021/1/25,Monday,0,0,6.9,12.3,3.2,1.4,2760,291,619,79,62750
2021/1/26,Tuesday,0.5,5.5,7.1,11.3,1.7,1.1,3851,340,1026,72,50950
2021/1/27,Wednesday,0.5,3.5,9.2,13.6,6.1,1.1,3968,258,976,92,76050
2021/1/28,Thursday,2,40,3.9,7.1,1.5,2,4122,314,1065,69,52100
2021/1/29,Friday,6.5,39.5,5,10,1.6,2.3,3547,340,871,109,89400
2021/1/30,Saturday,0,0,3.3,8,-0.6,2,3330,317,770,116,101700
2021/1/31,Sunday,0,0,4.6,11.2,-1.6,1.8,2673,212,634,118,94800
2021/2/1,Monday,0,0,7,14.1,1.7,2,1782,192,393,95,76150
2021/2/2,Tuesday,0,0,10,15.4,4.5,2.2,2321,222,556,75,60550
2021/2/3,Wednesday,0,0,5.5,11.1,-0.3,1.2,2648,238,676,89,75100
2021/2/4,Thursday,0,0,6.4,11.8,0.7,2.2,2574,204,734,73,60400
2021/2/5,Friday,0,0,6.3,11,2.1,1.5,2371,240,577,91,73400
2021/2/6,Saturday,0,0,8.4,15.1,3.2,1.1,2277,227,639,99,84450
2021/2/7,Sunday,0,0,9.5,15.5,3.9,1.6,1627,121,429,114,92900
2021/2/8,Monday,0,0,5.5,9.1,1.3,1.8,1215,155,276,88,72050
2021/2/9,Tuesday,0,0,4,8.8,0,2.4,1568,98,412,95,75600
2021/2/10,Wednesday,0,0,6.5,11.1,0.9,1.7,1885,145,491,100,84100
2021/2/11,Thursday,0,0,8.3,13.4,2.8,2.7,1689,127,434,115,105400
2021/2/12,Friday,0,0,7,12.5,2.6,1.1,1297,117,307,106,81500
2021/2/13,Saturday,0.5,2,9.9,15.8,3.4,1.6,1355,98,369,105,88950
2021/2/14,Sunday,0,0,12.2,17.9,5.8,1.7,1360,108,371,93,79650
2021/2/15,Monday,0,0,12.8,16.7,7.6,2.1,964,136,266,51,41450
2021/2/16,Tuesday,1.5,12.5,10.6,15.6,5.6,2.1,1305,145,350,91,73550
2021/2/17,Wednesday,0,0,7.4,12.9,1.7,3.5,1443,130,378,101,78550
2021/2/18,Thursday,0,0,3.6,7.9,-1.6,1.8,1540,150,445,82,65350
2021/2/19,Friday,0,0,6,10.6,-1.8,2.1,1297,146,353,102,80100
2021/2/20,Saturday,0,0,9.7,15.9,1.3,2.7,1228,123,327,123,112050
2021/2/21,Sunday,0,0,13.4,19.6,5.7,1.6,1029,163,272,142,119950
2021/2/22,Monday,1,4,13.6,20,5.8,2,739,99,178,101,82200
2021/2/23,Tuesday,0,0,11.1,15.5,5.5,2.8,1078,90,275,121,106500
2021/2/24,Wednesday,0,0,6.3,11.2,2.7,3.1,923,127,213,117,89050
2021/2/25,Thursday,0,0,5.9,12.3,0.5,1.5,1064,107,340,104,82000
2021/2/26,Friday,0.5,3.5,8,10.7,5.1,1.4,1057,113,270,108,87800
2021/2/27,Saturday,0,0,5.2,8.6,1.4,2.4,1208,151,337,124,107550
2021/2/28,Sunday,0,0,5.7,12.2,-1.2,1.2,994,132,329,129,114500
2021/3/1,Monday,0.5,1,11.3,17.8,4.4,2,684,127,121,82,62450
2021/3/2,Tuesday,0.5,0.5,13.4,19.6,7.6,3.9,887,87,232,63,50300
2021/3/3,Wednesday,0.5,4,6.7,10.7,3.1,2.5,1240,164,316,109,91550
2021/3/4,Thursday,0,0,8.3,14.5,1.7,1.3,1168,107,279,108,85300
2021/3/5,Friday,1,5,11.8,16.6,7.1,1,1145,137,301,104,88700
2021/3/6,Saturday,0.5,1.5,13,19.6,9.4,1.8,1045,108,293,139,113250
2021/3/7,Sunday,0,0,7.2,9.4,5.4,2.6,1061,113,237,149,130850
2021/3/8,Monday,0,0,6.6,7.6,5.2,2,599,73,116,96,75100
2021/3/9,Tuesday,0.5,5,8.8,13,4.8,1.6,1125,82,290,103,81900
2021/3/10,Wednesday,0,0,11.6,18.6,5.9,2.3,1309,106,340,91,78800
2021/3/11,Thursday,1.5,13,8.9,14.8,2.3,1.4,1315,122,335,111,89650
2021/3/12,Friday,0,0,12.3,16.4,7.4,1.2,1268,105,304,115,94800
2021/3/13,Saturday,0,0,11.9,14.1,10.1,2.4,1317,130,330,78,65300
2021/3/14,Sunday,0,0,12.7,17.3,8.3,3.6,982,106,239,126,110200
2021/3/15,Monday,1,20.5,12.2,18.3,6.7,2.2,688,76,175,89,70500
2021/3/16,Tuesday,0,0,13,19.2,6.4,2.1,1130,76,300,98,79900
2021/3/17,Wednesday,0,0,13.4,19.4,8.5,1.5,1520,90,409,97,77500
2021/3/18,Thursday,0,0,11.5,16.6,4.9,1.5,1492,122,323,96,77650
2021/3/19,Friday,0,0,12,16.5,9.2,2.2,1453,129,303,114,99550
2021/3/20,Saturday,0.5,1.5,13.1,17.4,8.7,1.5,1517,99,342,121,103000
2021/3/21,Sunday,0,0,17.4,19.4,14.4,3.4,1110,88,256,97,85950
2021/3/22,Monday,0,0,12.2,16.2,6.3,1.9,817,97,187,110,85350
2021/3/23,Tuesday,0,0,10.2,14.8,3.8,1.4,1485,72,337,101,77950
2021/3/24,Wednesday,0,0,13.1,18.5,6.9,2.2,1924,108,420,103,85150
2021/3/25,Thursday,1,2,14,18.2,10.4,1.6,1914,98,394,115,91750
2021/3/26,Friday,0,0,13.5,20.2,7,1.9,2030,135,376,120,101550
2021/3/27,Saturday,0,0,13,19.2,6.2,1.6,2073,97,430,140,120800
2021/3/28,Sunday,0,0,16.7,20.4,14.1,2.4,1753,92,313,112,99650
2021/3/29,Monday,2,8,17.3,22.2,14.5,1.6,1340,110,234,112,88200
2021/3/30,Tuesday,1.5,43,17,22.1,12.6,1.8,2077,81,364,114,93550
2021/3/31,Wednesday,0,0,17,21.2,14.7,1.5,2832,106,414,99,81450
2021/4/1,Thursday,0,0,15.7,20.7,12.5,2,2598,101,475,88,71650
2021/4/2,Friday,2,28,15.4,20.1,12.1,2.1,2742,105,437,95,83100
2021/4/3,Saturday,0,0,16.6,22.2,10.5,1.5,2755,90,446,126,105750
2021/4/4,Sunday,0.5,0.5,17.8,21.5,15.9,2.6,2459,124,354,115,99950
2021/4/5,Monday,0,0,12.9,17.9,8.3,3,1553,88,248,88,72650
2021/4/6,Tuesday,0.5,0.5,10,13.7,6.6,2.6,2652,62,397,93,76450
2021/4/7,Wednesday,0,0,12.6,19.1,6.5,1.5,3459,76,554,91,72800
2021/4/8,Thursday,0,0,13.3,18.3,9.5,1.8,3455,94,543,108,85100
2021/4/9,Friday,0,0,11.7,17.4,6.8,2.1,3511,102,537,118,90200
2021/4/10,Saturday,1,1,9.7,14.9,6.5,1.7,3742,94,570,129,106850
2021/4/11,Sunday,0,0,11.5,17.6,5.6,1.4,2848,98,421,122,102800
2021/4/12,Monday,0,0,13.7,20.2,7.1,1.6,2100,103,308,109,80900
2021/4/13,Tuesday,0.5,7.5,15.8,20.3,12.6,2.1,3445,62,511,90,66650
2021/4/14,Wednesday,2.5,57.5,15.3,20.5,6.9,2.8,4302,97,591,90,74150
2021/4/15,Thursday,0.5,0.5,10,15.3,5.4,2.1,4569,144,728,94,78300
2021/4/16,Friday,0,0,13.5,19.3,7.3,1.6,4518,155,666,116,94500
2021/4/17,Saturday,0,0,15.8,18.7,13.7,2.2,4790,156,758,143,115850
2021/4/18,Sunday,0,0,16.5,21.8,13.2,3.4,4087,145,541,127,117250
2021/4/19,Monday,6.5,77.5,15.7,20.8,11.3,2.7,2891,106,404,103,80200
